name,type,lat,lon,formatted_address,website,opening_hours
2 Bros. Pizza,fast_food,40.7569564,-73.9934438,n/a,https://www.2brospizza.com/location/542-9th-ave-new-york-ny-10018/,Mo-Su 11:00-01:00
9th St Espresso,cafe,40.7250870,-73.9777631,n/a,n/a,Mo-Su 07:00-20:00
Nicky's Unisex,bar,40.7122799,-73.9643956,n/a,https://www.instagram.com/nickysunisex,Mo-Fr 17:00-02:00; Sa-Su 12:00-02:00
Subway Subs,fast_food,42.7141668,-73.9322195,n/a,https://restaurants.subway.com/united-states/ny/altamont/2568-western-ave,Mo-Sa 09:30-20:30; Su 09:30-19:00
Chef's Takeout Restaurant,fast_food,42.7230160,-73.9361861,n/a,n/a,n/a
Bamboo Chinese Restaurant,restaurant,42.7228452,-73.9361861,n/a,n/a,n/a
Dawn's Victory Sports Cafe,bar,42.6528270,-73.7514854,n/a,n/a,n/a
Angelo's 677 Prime,restaurant,42.6533342,-73.7486679,n/a,n/a,n/a
Common Roots Albany Outpost,restaurant,42.6540692,-73.7477348,n/a,https://commonrootsbrewing.com/albany/,n/a
Loch & Quay,bar,42.6483796,-73.7509665,n/a,n/a,n/a
Pizzeria Sapienza,fast_food,42.6487036,-73.7539281,n/a,n/a,n/a
Lams Kitchen,fast_food,42.6485929,-73.7539756,n/a,n/a,n/a
Soho Pita,fast_food,42.6495143,-73.7531867,n/a,n/a,n/a
The Cobblestone Lunch Shoppe,fast_food,42.6505308,-73.7516378,n/a,n/a,n/a
Dunkin',fast_food,42.6508803,-73.7516557,n/a,https://locations.dunkindonuts.com/en/ny/albany/39-n-pearl-st/307866,Mo-Fr 05:00-17:30; Sa-Su 06:00-15:00
Yono's,restaurant,42.6532897,-73.7516606,n/a,n/a,n/a
Eastview Mall Food Court,food_court,43.0289408,-77.4459026,n/a,n/a,n/a
Golden Phoenix,restaurant,43.0647069,-77.4136916,n/a,n/a,n/a
Bar Vino,bar,43.7004653,-73.9865753,n/a,n/a,n/a
The Good Fork,restaurant,40.6759784,-74.0142976,n/a,https://www.goodfork.com/,Tu-Fr 16:00-24:00; Sa-Su 12:00-24:00
Brooklyn Ice House,bar,40.6791469,-74.0110111,n/a,n/a,"Mo-Th 12:00-03:00; Fr, Sa 12:00-04:00"
Sbarro,fast_food,41.1514068,-74.1879756,n/a,n/a,n/a
Dunkin',fast_food,41.1512229,-74.1879578,n/a,https://locations.dunkindonuts.com/en/ny/sloatsburg/nys-thruway-mile-33-n/308585,24/7
Burger King,fast_food,41.1513185,-74.1879672,n/a,n/a,n/a
Starbucks,cafe,41.1511179,-74.1882760,n/a,n/a,n/a
n/a,restaurant,42.9750582,-73.8463183,n/a,n/a,n/a
Black Cow Coffee,cafe,41.2086467,-73.8839360,n/a,https://blackcow.com/,n/a
Attanasio's Restaurant & Banquet House,restaurant,42.8247961,-73.9615266,n/a,n/a,n/a
Scotia Diner,restaurant,42.8246834,-73.9613355,n/a,n/a,n/a
Starbucks,cafe,42.4278065,-73.8055621,n/a,n/a,n/a
Shake Shack,fast_food,42.4280363,-73.8055085,n/a,n/a,n/a
Chick-fil-A,fast_food,42.4279406,-73.8055583,n/a,https://www.chick-fil-a.com/locations/ny/ny-state-thruway-new-baltimore-travel-plaza,Mo-Sa 07:00-22:00
Glen Sanders Mansion,restaurant,42.8222896,-73.9593924,n/a,n/a,n/a
De Marco's Restaurant,restaurant,42.7412050,-73.8591448,n/a,n/a,n/a
Farmer Boy Diner,restaurant,42.7424935,-73.8606593,n/a,http://www.farmer-boy.com,n/a
